gameid,qtr,min,sec,off,def,down,togo,ydline,description,offscore,defscore,season
20120905_DAL@NYG,1,50,54,DAL,NYG,2,8,64,(5:54) (Shotgun) PENALTY on DAL-T.Smith False Start 5 yards enforced at DAL 36 - No Play.,0,0,2012
20120905_DAL@NYG,1,50,39,DAL,NYG,2,13,69,(5:39) (Shotgun) T.Romo pass short middle to M.Austin to DAL 40 for 9 yards (K.Rivers J.Hosley).,0,0,2012
20120905_DAL@NYG,1,50,1,DAL,NYG,3,4,60,(5:01) (Shotgun) T.Romo pass short right to K.Ogletree to NYG 46 for 14 yards (J.Williams K.Phillips).,0,0,2012
20120905_DAL@NYG,1,49,26,DAL,NYG,1,10,46,(4:26) PENALTY on DAL-J.Witten False Start 5 yards enforced at NYG 46 - No Play.,0,0,2012
20120905_DAL@NYG,1,49,9,DAL,NYG,1,15,51,(4:09) D.Murray left guard to NYG 46 for 5 yards (K.Rivers).,0,0,2012
20120905_DAL@NYG,1,48,22,DAL,NYG,2,10,46,(3:22) (Shotgun) T.Romo pass incomplete deep left to D.Bryant (C.Webster).,0,0,2012
20120905_DAL@NYG,1,48,13,DAL,NYG,3,10,46,(3:13) (Shotgun) T.Romo pass short left to K.Ogletree to NYG 37 for 9 yards (A.Rolle M.Coe).,0,0,2012
20120905_DAL@NYG,1,47,46,DAL,NYG,4,1,37,(2:46) L.Vickers left guard to NYG 37 for no gain (A.Rolle K.Rivers).,0,0,2012
20120905_DAL@NYG,1,47,12,NYG,DAL,1,10,63,(2:12) E.Manning pass short right to H.Nicks to NYG 47 for 10 yards (M.Claiborne).,0,0,2012
20120905_DAL@NYG,1,46,35,NYG,DAL,1,10,53,(1:35) A.Bradshaw left end to 50 for 3 yards (S.Lissemore A.Spencer).,0,0,2012
